Brand,Released Date,OS,Display,Camera,RAM,Battery,Price
Acer,2016,Android 6.0,"5.5"" 1080x1920 pixels",21MP 2160p,3GB RAM Snapdragon 808,3000mAh Li-Po,"৳16,700.00"
Acer,2016,Android 5.1,"5.5"" 720x1280 pixels",13MP 1080p,3GB RAM MT6753,4020mAh Li-Po,"৳22,690.00"
Acer,2016,Android 6.0,"5.0"" 720x1280 pixels",8MP Video recorder,1GB RAM MT6737,2000mAh Li-Ion,"৳10,500.00"
Acer,2016,Android 6.0,"5.5"" 1080x1920 pixels",13MP 1080p,3GB RAM MT6753,4080mAh Li-Po,"৳21,500.00"
Samsung,2016,Android 5.1 - 3G model 6.0 - LTE model,"4.0"" 480x800 pixels",5MP 720p,1GB RAM Spreadtrum SC9830,1500mAh Li-Ion,"৳8,900.00"
Infinix,2016,Android 6.0 (Marshmallow),"5.5 inches, 83.4 cm2 (~71.7% screen-to-body ratio)","13 MP, AF",2 GB RAM,4000 mAh Battery,"৳10,990.00"
BLU,2016,Android 6.0,"5.5"" 1080x1920 pixels",16MP 1080p,4GB RAM MT6755 Helio P10,3000mAh Li-Po,"৳27,900.00"
BLU,2016,Android 6.0,"5.0"" 480x854 pixels",5MP 720p,512MB RAM MT6580,2200mAh Li-Po,"৳5,300.00"
BLU,2016,Android 6.0,"5.0"" 480x854 pixels",5MP 720p,1GB RAM MT6580,4000mAh Li-Po,"৳6,200.00"
BLU,2016,Android 6.0,"5.0"" 720x1280 pixels",8MP 1080p,1GB RAM MT6580,3000mAh Li-Po,"৳6,300.00"
HP,2016,Microsoft Windows 10,"5.96"" 1440x2560 pixels",16MP 1080p,4GB RAM Snapdragon 820,4150mAh Li-Po,"৳60,500.00"
Samsung,2016,Tizen 2.4,"4.0"" 480x800 pixels",5MP 720p,1GB RAM Spreadtrum SC9830,1500mAh Li-Ion,"৳7,000.00"
BLU,2016,Android 6.0,"5.0"" 720x1280 pixels",8MP 1080p,1GB RAM MT6735,3000mAh Li-Po,"৳7,200.00"
Alcatel,2016,Android 6.0,"5.5"" 720x1280 pixels",8MP 720p,2GB RAM Snapdragon 210,2500mAh Li-Ion,"৳7,800.00"
BLU,2016,Android 6.0,"5.0"" 720x1280 pixels",5MP 720p,1GB RAM MT6737,2200mAh Li-Po,"৳7,800.00"
Samsung,2016,Android 6.0.1,"5.7"" 1440x2560 pixels",12MP 2160p,4GB RAM Snapdragon 820,3500mAh Li-Ion,"৳79,990.00"
BLU,2016,Android 6.0,"5.0"" 480x854 pixels",5MP 720p,1GB RAM MT6735,2500mAh Li-Po,"৳9,900.00"
