Brand,Released Date,OS,Display,Camera,RAM,Battery,Price
Nokia,2019,Feature phone,"1.77"" 120x160 pixels",0.1MP,-,800mAh Li-Ion,"৳2,399.00"
Ulefone,2019,Android 9.0,"5.7"" 1080x2160 pixels",21MP 1080p,6GB RAM MT6771 Helio P70,10300mAh Li-Po,"৳20,000.00"
Oppo,2019,Android 9.0; ColorOS 6.1,"6.5"" 720x1600 pixels",48MP 1080p,4/8GB RAM Snapdragon 665,5000mAh Li-Po,"৳20,990.00"
Realme,2019,"Android 9.0, planned upgrade to 10.0","6.4"" 1080x2340 pixels",64MP 2160p,4/8GB RAM Snapdragon 712,4000mAh Li-Po,"৳22,000.00"
Samsung,2019,Android 9.0,"6.4"" 720x1560 pixels",25MP 1080p,3/4GB RAM Exynos 7885,4000mAh Li-Po,"৳22,990.00"
Vivo,2019,Android 9.0; Funtouch 9.1,"6.38"" 1080x2340 pixels",48MP 2160p,6GB RAM Snapdragon 712,4500mAh Li-Po,"৳23,500.00"
Ulefone,2019,Android 9.0,"5.7"" 1080x2160 pixels",21MP 1080p,6GB RAM MT6771 Helio P70,10300mAh Li-Po,"৳24,000.00"
Realme,2019,"Android 9.0, planned upgrade to 10.0","6.4"" 1080x2340 pixels",64MP 2160p,6/8GB RAM Snapdragon 730G,4000mAh Li-Po,"৳24,000.00"
Xiaomi,2019,Android 9.0; MIUI 10,"6.39"" 1080x2340 pixels",48MP 2160p,6GB RAM Snapdragon 710,4030mAh Li-Po,"৳24,000.00"
Xiaomi,2019,Android 9.0; MIUI 10,"6.53"" 1080x2340 pixels",64MP 2160p,6/8GB RAM Helio G90T,4500mAh Li-Po,"৳24,999.00"
Samsung,2019,Android 9.0; One UI,"6.4"" 1080x2400 pixels",48MP 1080p,4/6GB RAM Exynos 9611,6000mAh Li-Po,"৳27,490.00"
Samsung,2019,Android 9.0,"6.4"" 1080x2340 pixels",48MP 2160p,4/6GB RAM Exynos 9610,4000mAh Li-Po,"৳29,990.00"
Samsung,2019,Android 9.0; One UI,"6.7"" 1080x2400 pixels",64MP 2160p,6/8GB RAM Snapdragon 675,4500mAh Li-Po,"৳30,000.00"
Nokia,2019,Android 9.0; Android One,"6.3"" 1080x2280 pixels",48MP 2160p,4/6GB RAM Snapdragon 660,3500mAh Li-Po,"৳31,990.00"
Huawei,2019,Android 9.0; EMUI 9.1,"8.4"" 2560x1600 pixels",13MP 1080p,6GB RAM HiSilicon Kirin 980,6100mAh Li-Po,"৳33,000.00"
Oppo,2019,Android 9.0; ColorOS 6.1,"6.53"" 1080x2340 pixels",48MP 2160p,8GB RAM MT6779 Helio P90,4000mAh Li-Po,"৳35,000.00"
Samsung,2019,Android 9.0; One UI,"6.7"" 1080x2400 pixels",48MP 2160p,6/8GB RAM Snapdragon 855,4500mAh Li-Po,"৳36,000.00"
Vivo,2019,Android 9.0; Funtouch 9.1,"6.44"" 1080x2440 pixels",48MP 2160p,8GB RAM Snapdragon 675,4100mAh Li-Po,"৳39,990.00"
BLU,2019,Android 8.1 Oreo,"4.0"" 480x800 pixels",5MP 720p,512MB RAM,1300mAh Li-Po,"৳4,500.00"
Oppo,2019,Android 9.0; ColorOS 6.1,"6.5"" 1080x2400 pixels",48MP 2160p,8GB RAM Snapdragon 730G,4000mAh Li-Po,"৳42,000.00"
Vivo,2019,"Android 9.0, Funtouch 9.1","6.41"" 1080x2340 pixels",48MP 2160p,8/12GB RAM Snapdragon 855+,4500mAh Li-Po,"৳48,000.00"
Huawei,2019,"Android 9.0, EMUI 9.1","6.26"" 1080x2340 pixels",48MP 2160p,8GB RAM HiSilicon Kirin 980,3750mAh Li-Po,"৳49,999.00"
Asus,2019,"Android 9.0, ROG UI","6.59"" 1080x2340 pixels",48MP 2160p,8/12GB RAM Snapdragon 855+,6000mAh Li-Po,"৳52,000.00"
Xiaomi,2019,Android 10; MIUI 11,"6.39"" 1080x2340 pixel",48MP 2160p,8/12GB RAM Snapdragon 855+,4000mAh Li-Po,"৳58,500.00"
Vivo,2019,Android 9.0; Funtouch 9.1,"6.89"" 1080x2256 pixels",64MP 2160p,8/12GB RAM Snapdragon 855+,4500mAh Li-Po,"৳65,000.00"
BLU,2019,Android 9.0,"5.5"" 720x1440 pixels",13MP 1080p,2GB RAM,3000mAh Li-Po,"৳7,000.00"
Apple,2019,iOS 13,"6.1"" 828x1792 pixels",12MP 2160p,4GB RAM Apple A13 Bionic,3046mAh Li-Ion,"৳87,999.00"
Allview,2019,Android 9.0,"5.7"" 720x1520 pixels",8MP 1080p,2GB RAM MT6761 Helio A22,2700mAh Li-Po,"৳9,500.00"
Walton,2019,Android 9.0,6.09” 720x1520 pixels,13MP 1080p,3GB ARM Cortex-A55,4000mAh Li-Po,"৳9,599.00"
Huawei,2019,Android 10; EMUI 10,"6.53"" 1176x2400 pixels",40MP 2160p,8GB RAM HiSilicon Kirin 990,4500mAh Li-Po,"৳99,999.00"
Fairphone,2019,Android 9.0,"5.65"" 1080x2160 pixels",12MP 2160p,4GB RAM Snapdragon 632,3000mAh Li-Ion,"৳46,000.00"
Tecno,2019,Android 9 (Pie),"6.2"" 720 x 1520 pixels",13 MP 1080p,3 GB RAM MediaTek Helio A22,3500 mAh Li-ion,"৳12,990.00"
Walton,2019,Android 8.1 (Oreo),"5.35"" 480x960 pixels",8MP 720p,2GB,2250mAh Li-ion,"৳6,799.00"
Itel,2019,Android 9.0 Pie,5.5' 720 x 1280 pixels,8MP 720p,2GB Mediatek MT6739,2350mAh Li-Ion,"৳6,990.00"
Tecno,2019,Android 9.0,"6.1"" 720 x 1560 pixels",13MP 1080p,3GB MediaTek,3000mAh Li-Ion,"৳10,490.00"
Lava,2019,Android 8.1,"5.0"" 480x960 pixels",5MP 720p,1GB SC7731E,2000mAh Li-ion,"৳4,850.00"
Tecno,2019,Android 9,"6.1"" 720 x 1560 pixels",8MP 720p,2GB MediaTek,3000mAh Li-Ion,"৳7,490.00"
Itel,2019,"Android 9.0 (Pie, Go Edition)","6.1""720 x 1520 pixels",8MP 720p@30fps,2GB Spreadtrum UniSoC SC9863A,3000 mAh Li-Ion,"৳7,890.00"
WE,2019,Android 8.1,"6.0"" 720 x 1280 pixels",13MP 1080p,2GB,3400mAh Li-Po,"৳8,999.00"
Symphony,2019,Android 8.1 Oreo (Go edition),"5.0"" 480 x 854 pixels",5 MP,1GB Cortex-A7,2150mAh,"৳3,890.00"
Itel,2019,Android 9 (Go Edition),"5.0"" 480 x 854 pixels",5MP 720p,2GB Mediatek MT6580A,4000mAh Li-Po,"৳5,500.00"
Symphony,2019,Oreo Android 8.1 Go Edition,5.45 inche,5MP,1 GB,Li-ion 2500mAh,"৳5,840.00"
Walton,2019,Android 8.1,"4.0"" 480 x 800 pixels",2MP 1080p,512MB MediaTek MT6739,1400 mAh Li-ion,"৳2,930.00"
Walton,2019,Android 8.1 (Oreo),"5.35"" 480x960 pixels",8 MP 720p,2 GB,2250 mAhLi-ion,"৳6,199.00"
Walton,2019,Android 8.1,"5.3"" 720 x 1440 pixels",13MP 1080p,3 GB MediaTek MT6737T,4000 mAh Li-po,"৳8,599.00"
Vivo,2019,Android Oreo v8.1 (Funtouch OS 4.5),"6.22 inches, 1520 x 720 pixels",Dual 13+2 Megapixel,2 GB,Lithium-ion 4030 mAh,"৳13,990.00"
Lava,2019,Android (Oreo) 8.1 StarOS 5.1 UI,6.22 inche 720 x 1520 pixels,16 MP 1080p,4 GB MediaTek Helio P22 (MT6762),3260 mAh Li-ion,"৳17,990.00"
Symphony,2019,Android 8.1.0,4.95 inch 960 x 480,5 MP 1080p,1 GB,2000mAh Li-ion,"৳4,590.00"
Walton,2019,Android Oreo v8.1,"5.72 inches, HD+ 1440 x 720 Pixels",13 Megapixel,3 GB,Lithium-polymer 3000 mAh,"৳10,999.00"
WE,2019,Android Oreo v8.1 (Go Edition),4.95 inches,5 Megapixel,1 GB,2000 mAh,"৳4,490.00"
Symphony,2019,Android 8.1,"5.45"" 440 x 720 pixels",13MP 720p,2GB,3000mAh Li-Ion,"৳6,490.00"
Lava,2019,Android 8.1,6.22 inches 720×1440 pixels,13 Megapixel,3 GB MediaTek Helio P22 MT6762,3260 mAh Lithium-ion,"৳11,990.00"
Honor,2019,Android 9.0,"6.1"" 720x1560 pixels",13MP 1080p,2GB Mediatek MT6765 Helio P35,3020mAh,"৳11,999.00"
Walton,2019,Oreo Android 8.1 (Go Edition),4.5-inche,5MP,1GB,Li-Ion 1700mAh,"৳3,899.00"
Symphony,2019,Go Android 8.1.0,TN Full Vision 480x960,5 MP 720p,1 GB,Li-ion 2000mAh,"৳4,590.00"
Lava,2019,Android 8.1,"5.0"" 480x960 pixels",5MP 720p,1GB MediaTek MT6737M,2000mAh Li-ion,"৳4,790.00"
Walton,2019,Android 9,"6.26"" 720 x 1520 pixels",12 MP 1080p,3 GB MediaTek Helio A22,3900mAh Li-Ion,"৳14,999.00"
Walton,2019,Android 8.1,"5.7"" 480 x 960 pixels",5MP 720p,1GB,2400mAh Li-Po,"৳4,999.00"
Walton,2019,Android 8.1,"5.45"" 720 x 1440 pixels",5MP 720p,1GB,2500mAh Li-Ion,"৳5,199.00"
Lava,2019,Android 8.1 (Oreo),"5.0"" 480 x 960 pixels",5MP,1GB,2000 mAh Li-Ion,"৳5,290.00"
Tecno,2019,Android 8.0,"5.5"" 480 x 960 pixels",5MP 720p,1GB,2400mAh Li-Po,"৳5,990.00"
Walton,2019,Android 9,"5.99"" 480 x 960 pixels",8MP 720p,2GB,3200mAh Li-Po,"৳6,699.00"
Itel,2019,Android 9.0,"6.0"" 720 x 1440 pixels",8MP 720p,1GB UniSoC Spreadtrum SC7731E,3000mAh Li-ion,"৳6,990.00"
Symphony,2019,Android 9.0,"5.7"" 720 x 1440 pixels",13MP 1080p,2GB,3200mAh Li-Po,"৳7,490.00"
Symphony,2019,Android 8.1,"5.45"" 480 x 960 pixel",5MP 720p,1GB Mediatek MT6739,2500mAh Li-Ion,"৳4,890.00"
Symphony,2019,Android 9.0,"5.45"" 720 x 1440 pixels",8MP 1080p,1GB,2900 mAh Li-Ion,"৳5,890.00"
Walton,2019,Android 8.1,"5.45"" 720 x 1440 pixels",8MP 720p,3 GB,3200mAh Li-Po,"৳7,599.00"
Symphony,2019,Android 9.0,"6.09"" 720 x 1440 pixels",13MP 1080p,2GB,4000mAh Li-po,"৳9,490.00"
Walton,2019,Android 8.1,"4.5""",5MP,1GB,1700 mAh Li-ion,"৳3,950.00"
Walton,2019,Android 8.1,"4.95""",5MP,1GB,2920mAh Li-ion,"৳4,599.00"
Itel,2019,Android 8.1,"5.0"" 720 x 1440 pixels",5 MP 720@30fps,1 GB Mediatek MT6580,2200 mAh Li-Ion,"৳5,390.00"
Maximus,2019,Android 8.1,"5.45"" 720x1440 pixels",8 MP 720pp,16 GB Mediatek MT6739,2000 mAh Li-ion,"৳5,750.00"
Tecno,2019,Android 9.0,"6.2"" 720 x 1500 pixels",13 MP 1080p,2 GB MediaTek MT6761,3500mAh Li-ion,"৳9,990.00"
Lava,2019,Android 8.1,"6.22"" 720 x 1520 pixels",13 MP 1080p,3 GB Mediatek MT6762,3500 mAh Li-po,"৳11,990.00"
Maximus,2019,Android 8.1,"5.45"" 480 x 960 pixels",5 MP 720p,1 GB Mediatek MT6739A,2500mAh Li-ion,"৳4,900.00"
Walton,2019,Android 8.1 (GO EDITION),"4.95'' 480 x 960 pixels, 18:9 ratio (~197 ppi density)",5MP 720p,1GB,2000mAh Li-ion,"৳5,700.00"
Symphony,2019,Android 9.0,"5.45"" 720 x 1440 pixels",8 MP 720p,1 GB,4000 mAh Li-ion,"৳6,190.00"
Symphony,2019,Android 8.1 (Oreo),"5.45"" 720x1440 pixels",8 MP 720p,1 GB,2500 mAh Li-ion,"৳6,190.00"
Itel,2019,Android 8.1,"5.5"" 720x1280 pixels",8 MP 720p,1 GB MediaTek MT6580,3850 mAh Li-ion,"৳6,190.00"
Symphony,2019,Android 8.1,"5.45"" 720 x 1440 pixels",8MP 1080p,1GB,2500mAh Li-Ion,"৳6,390.00"
Itel,2019,Android 8.1,"6.0"" 720 x 1520 pixels",8MP 720p,1GB MediaTek MT6580,3850mAh Li-Ion,"৳6,990.00"
Walton,2019,Android 8.1,"5.45"" 720x1440 pixels",8MP 1080p,2GB MediaTek MT6739,3200 mAh Battery,"৳7,099.00"
Symphony,2019,Android 8.1,"5.0"" 1280x720 pixels",5MP 720p,1GB,2000mAh Li-ion,"৳3,890.00"
Symphony,2019,Android 8.1,"5.0"" 480 x 854 pixels",5MP 720p,1GB,2000mAh Li-ion,"৳3,990.00"
Walton,2019,Android 8.1,"5.0"" 480 x 960 pixels",5MP 720p,512 MB,2000mAh Li-ion,"৳4,500.00"
Symphony,2019,Android 8.1,"5.0"" 720x1280 pixels",5MP 720p,1GB Mediatek MT6739,2200mAh Li-Ion,"৳4,190.00"
Itel,2019,Android 9.0,"5.0"" 480x854 pixels,",5 MP 720p,1 GB UniSoC Spreadtrum SC9832E,3020mAh Li-Ion,"৳4,990.00"
Tecno,2019,Android 9.0,"6.55"" 720 x 1600 pixels",16MP 1080p,4GB Mediatek MT6761 Helio A22,4000mAh Li-Po,"৳14,990.00"
UmiDigi,2019,Android 9.0,"6.53"" 1080x2340 pixels",48MP 2160p,6GB Mediatek MT6771 Helio P70,5150 mAh,"৳15,000.00"
UmiDigi,2019,Android 9.0,"6.53"" 1080x2340 pixels",48MP 2160p,4GB MediaTek Helio P60,6150mAh Li-Po,"৳16,000.00"
Symphony,2019,Android 8.1 Oreo (Go edition),"4.0"" 480 x 800 pixels",2 MP,512MB,1500 mAh,"৳2,990.00"
Lava,2019,Android 8.1,"5.5"" 720x1440 pixels",5MP,1GB,3200mAh Li-Ion,"৳5,590.00"
Symphony,2019,Android 9.0,"5.45"" 720 x 1440 pixels",8MP 720p,1.5GB,2000mAh Li-ion,"৳5,990.00"
Walton,2019,Android 9,"5.45"" 720 x 1440 pixels",8MP 1080p,2GB ARM Cortex-A55,2500 mAh Li-Ion,"৳6,399.00"
Lava,2019,Android 9.0,"6.22"" 720x1520 pixels",13MP 1080p,3GB Helio P22,3500 mAh,"৳9,990.00"
Asus,2019,Android 8.0,"6.26"" 1080x2246 pixels",12MP 1080p,3GB RAM Snapdragon SiP 1,4000mAh Li-Po,"৳28,990.00"
Asus,2019,Android 8.0,"6.26"" 1080x2246 pixels",12MP 1080p,4GB RAM Snapdragon SiP 1,4000mAh Li-Po,"৳29,990.00"
Xiaomi,2019,Android 9.0,"6.39"" 1080x2340 pixels",48MP 2160p,12GB RAM Snapdragon 855,4000mAh Li-Ion,"৳43,990.00"
Wiko,2020,Android 9.0 Pie,"6.09"" 720x1560 pixels",13MP 1080p,2GB RAM Unisoc SC9863A,4000mAh Li-Po,"৳10,000.00"
Wiko,2020,Android 8.1,"5.0"" 480x854 pixels",5MP 720p,1GB RAM,2200mAh Li-Ion,"৳6,000.00"
Wiko,2020,Android 9.0 Pie,"5.45"" 480x960 pixels",5MP 1080p,1GB RAM,2500mAh Li-Ion,"৳6,000.00"
Wiko,2020,Android 10,"5.99"" 480x960 pixels",8MP 1080p,2GB RAM MT6761WE,3000mAh Li-Ion,"৳7,000.00"
Wiko,2020,Android 10,"6.52"" 720x1600 pixels",13MP 1080p,2GB RAM Helio A25,4000mAh Li-Po,"৳9,000.00"
Infinix,2020,Android 10.0,"6.53"" 1080x2340 pixels",16MP 1080p,4/6GB RAM MT6765 Helio P35,4000mAh Li-Po,"৳10,000.00"
Lava,2020,Android 9,"5.0"" 480 x 854 pixels",5MP 720p,2GB UniSoC Spreadtrum SC9832E,3000mAh,"৳13,000.00"
Infinix,2020,Android 10.0,"6.53"" 1080x2340 pixels",48MP 1080p,4/6GB RAM MT6765 Helio P35,4000mAh Li-Po,"৳15,000.00"
Infinix,2020,"Android 10.0, XOS 6.0","6.95"" 720x1640 pixels",48MP 1080p,4/6GB RAM Helio G70,5000mAh Li-Po,"৳15,990.00"
Lava,2020,Android 9,"5.5"" 960 × 480 pixels",8MP 1080p,2GB Spreadtrum UniSoC SC9863A,4120mAh Li-Po,"৳6,000.00"
Lava,2020,Android 9.0,"5.5"" 720x1440 pixels",5MP 720p,1GB UniSoC Spreadtrum SC9832E,3200mAh,"৳6,500.00"
BLU,2020,Android 9.0,"6.0"" 720x1440 pixels",13MP 1080p,2GB RAM Helio A22,3000mAh Li-Po,"৳7,000.00"
Allview,2020,Android 9.0 Pie,"8.0"" 800x1280 pixels",0.3MP 720p,1GB RAM MT8321,3600mAh Li-Po,"৳9,000.00"
Infinix,2020,"Android 10.0, XOS 6.0","6.6"" 720x1600 pixels",16MP 1080p,2-4GB RAM MediaTek Helio A25,5000mAh Li-Po,"৳9,000.00"
Nokia,2020,Feature phone,"2.4"" 240x320 pixels",0.2MP,8MB RAM MT6260A,1200mAh Li-Ion,"৳4,499.00"
LG,2020,Android 10,"6.8"" 1080x2460 pixels",64MP 4320p,8GB RAM Snapdragon 865,5000mAh Li-Po,"৳88,000.00"
Honor,2020,Android 10.0; Magic UI 3.0,"6.3"" 720x1600 pixels",13MP 1080p,4GB RAM MT6765 Helio P35,5000mAh Li-Po,"৳11,500.00"
Infinix,2020,Android 9.0 Pie - 32/2GB,"6.82"" 720x1640 pixels",13MP 1080p,2/3GB RAM MT6761 Helio A22,6000mAh Li-Po,"৳7,990.00"
Motorola,2020,Android 10.0,"6.4"" 1080x2300 pixels",16MP 2160p,4GB RAM Snapdragon 665,5000mAh Li-Po,"৳23,000.00"
Motorola,2020,Android 9.0,"6.2"" 876x2142 pixels",16MP 2160p,6GB RAM Snapdragon 710,2510mAh Li-Po,"৳148,000.00"
Vivo,2020,Android 10.0; Funtouch 10.0,"6.53"" 1080x2400 pixels",13MP 1080p,8GB RAM Snapdragon 665,5000mAh Li-Po,"৳20,990.00"
Vivo,2020,Android 10.0; Funtouch 10.0,"6.44"" 1080x2400 pixels",48MP 1080p,8GB RAM Exynos 980,4500mAh Li-Po,"৳27,000.00"
Honor,2020,Android 10.0; Magic UI 3.1,"6.39"" 720x1560 pixels",48MP 1080p,6GB RAM HiSilicon Kirin 710A,4000mAh Li-Po,"৳15,000.00"
Honor,2020,Android 9.0; EMUI 9,"6.09"" 720x1560 pixels",13MP 1080p,3GB RAM MT6765 Helio P35,3020mAh Li-Po,"৳14,000.00"
Oppo,2020,Android 8.1; ColorOS 5.1,"6.2"" 720x1520 pixels",13MP 1080p,3GB RAM Snapdragon 450,4230mAh Li-Ion,"৳12,500.00"
Motorola,2020,Android 10.0,"6.4"" 1080x2300 pixels",48MP 2160p,4GB RAM Snapdragon 665,4000mAh Li-Po,"৳25,500.00"
LG,2020,Feature phone,"2.8"" 240x320 pixels",2MP,1GB RAM Snapdragon 210,1470mAh Li-Ion,"৳14,000.00"
Nokia,2020,"Android 10.0, Android One","6.55"" 720x1600 pixels",13MP 1080p,3-6GB RAM Snapdragon 665,4000mAh Li-Po,"৳19,500.00"
Xiaomi,2020,Android 9.0; MIUI 11,"6.22"" 720x1520 pixels",13MP 1080p,2/3GB RAM Snapdragon 439,5000mAh Li-Po,"৳8,500.00"
Nokia,2020,"Android 10.0, Android One","5.71"" 720x1520 pixels",8MP 720p,1GB RAM QM215,3000mAh Li-Po,"৳9,500.00"
Oppo,2020,Android 9.0; ColorOS 6.1,"6.22"" 720x1520 pixels",13MP 1080p,3/4GB RAM MT6765 Helio P35,4230mAh Li-Po,"৳11,990.00"
Oppo,2020,Android 10.0; ColorOS 7.1,"6.5"" 1080x2400 pixels",12MP 2160p,8GB RAM Snapdragon 665,5000mAh Li-Po,"৳19,990.00"
Oppo,2020,Android 10.0; ColorOS 7.1,"6.55"" 1080x2400 pixels",48MP 2160p,8/12GB RAM Snapdragon 865,4000mAh Li-Po,"৳67,000.00"
Honor,2020,Android 10.0; Magic UI 3.1,"6.53"" 1080x2400 pixels",40MP 2160p,6/8GB RAM HiSilicon Kirin 985 5G,4000mAh Li-Po,"৳35,000.00"
Honor,2020,Android 10.0; Magic UI 3.1,"6.57"" 1080x2340 pixels",40MP 2160p,8GB RAM HiSilicon Kirin 990 5G,4000mAh Li-Po,"৳48,000.00"
OnePlus,2020,Android 10.0; OxygenOS 10.0,"6.55"" 1080x2400 pixels",48MP 2160p,8/12GB RAM Snapdragon 865,4300mAh Li-Po,"৳59,990.00"
Honor,2020,Android 10.0; Magic UI 3.1,"6.57"" 1080x2340 pixels",50MP 2160p,8/12GB RAM HiSilicon Kirin 990 5G,4000mAh Li-Po,"৳60,000.00"
OnePlus,2020,Android 10.0; OxygenOS 10.0,"6.78"" 1440x3120 pixels",48MP 2160p,8/12GB RAM Snapdragon 865,4510mAh Li-Po,"৳94,990.00"
Motorola,2020,Android 10.0,"6.7"" 1080x2340 pixels",64MP 2160p,4/6GB RAM Snapdragon 765G,4500mAh Li-Po,"৳56,000.00"
ZTE,2020,Android 10.0; nubia UI 8.0,"6.65"" 1080x2340 pixels",48MP 2160p,6/8GB RAM Snapdragon 765G,5100mAh Li-Ion,"৳29,000.00"
Apple,2020,iOS 13.4,"4.7"" 750x1334 pixels",12MP 2160p,3GB RAM Apple A13 Bionic,1821mAh Li-Ion,"৳35,000.00"
Motorola,2020,Android 9.0,"6.1"" 720x1560 pixels",13MP 1080p,2GB RAM MT6762 Helio P22,3000mAh Li-Po,"৳10,000.00"
LG,2020,Android 10.0,"6.5"" 720x1600 pixels",13MP 1080p,3GB RAM,4000mAh Li-Po,"৳15,000.00"
Honor,2020,Android 9.0; EMUI 9.1,"6.21"" 1080x2340 pixels",24MP 1080p,6GB RAM Hisilicon Kirin 710F,3400mAh Li-Po,"৳17,000.00"
LG,2020,Android 10.0,"6.5"" 720x1600 pixels",32MP 1080p,3GB RAM,4000mAh Li-Po,"৳20,000.00"
LG,2020,Android 10.0,"6.5"" 1080x2340 pixels",48MP 2160p,4GB RAM,4000mAh Li-Po,"৳25,000.00"
Samsung,2020,"Android 10, One UI 2.0","6.4"" 1080x2400 pixels",48MP 1080p,4/6GB RAM,5000mAh Li-Po,"৳25,999.00"
Samsung,2020,Android 8.1 Oreo,"5.0"" 540x960 pixels",8MP 1080p,1GB RAM Exynos 7570 Quad,2600mAh Li-Ion,"৳7,500.00"
Sony,2020,Android 9.0,"6.2"" 720x1680 pixels",13MP 1080p,3GB RAM MT6762 Helio P22,3580mAh Li-Ion,"৳18,500.00"
Huawei,2020,Android 10.0; EMUI 10.1,"6.5"" 1080x2400 pixels",64MP 2160p,8GB RAM HiSilicon Kirin 820 5G,4000mAh Li-Po,"৳35,000.00"
Huawei,2020,Android 10.0; EMUI 10.1,"6.53"" 1080x2400 pixels",64MP 2160p,8GB RAM HiSilicon Kirin 985 5G,4000mAh Li-Po,"৳38,000.00"
Huawei,2020,"Android 10, EMUI 10, no Google Play Services","6.57"" 1080x2340 pixels",64MP 2160p,8GB RAM HiSilicon Kirin 985 5G,4000mAh,"৳40,000.00"
Oppo,2020,Android 10.0; ColorOS 7.1,"6.5"" 1080x2400 pixels",12MP 2160p,4/8GB RAM Snapdragon 665,5000mAh Li-Po,"৳24,000.00"
Oppo,2020,Android 10; ColorOS 7.0,"6.57"" 1080x2400 pixels",48MP 2160p,6/8GB RAM MediaTek MT6873V,3890mAh Li-Po,"৳27,000.00"
Realme,2020,Android 10.0; Realme UI,"6.57"" 1080x2400 pixels",48MP 2160p,6/8GB RAM Snapdragon 765G,4200mAh,"৳28,000.00"
Vivo,2020,"Android 10, Funtouch 10.0","6.44"" 1080x2400 pixels",48MP 2160p,8GB RAM Snapdragon 712,4500mAh Li-Po,"৳28,000.00"
Realme,2020,Android 10.0; Realme UI,"6.57"" 1080x2400 pixels",48MP 2160p,6/8GB RAM Snapdragon 765G,4200mAh,"৳29,000.00"
Vivo,2020,Android 10.0; iQOO UI 1.0,"6.57"" 1080x2408 pixels",48MP 2160p,6-12GB RAM Snapdragon 865,4500mAh Li-Po,"৳33,000.00"
Vivo,2020,Android 10.0; Funtouch 10.0,"6.44"" 1080x2400 pixels",48MP 2160p,8GB RAM Snapdragon 712,4500mAh Li-Po,"৳35,990.00"
OnePlus,2020,"Android 10, OxygenOS 10.0","6.55"" 1080x2400 pixels",48MP 2160p,8GB RAM Snapdragon 865,4300mAh Li-Po,"৳45,000.00"
OnePlus,2020,Android 10; OxygenOS 10.0,"6.55"" 1080x2400 pixels",48MP 2160p,8GB RAM Snapdragon 865,4300mAh Li-Po,"৳75,000.00"
Motorola,2020,Android 9.0,"6.5"" 720x1600 pixels",16MP 1080p,4GB RAM MT6765 Helio P35,5000mAh Li-Po,"৳14,999.00"
Xiaomi,2020,Android 10.0; MIUI 11,"6.67"" 1080x2400 pixels",64MP 4320p,8/12GB RAM Snapdragon 865,4700mAh Li-Po,"৳60,000.00"
Samsung,2020,Android 8.0,"5.1"" 1440x2560 pixels",12MP 1080p,4GB RAM Exynos 9810,4500mAh Li-Po,"৳93,000.00"
Huawei,2020,Android 10.0; EMUI 10.1,"6.58"" 1200x2640 pixels",50MP 2160p,8GB RAM HiSilicon Kirin 990 5G,4200mAh Li-Po,"৳109,999.00"
Xiaomi,2020,Android 10.0; MIUI 11,"6.67"" 1080x2400 pixels",48MP 2160p,4/6GB RAM Snapdragon 720G,5020mAh Li-Po,"৳22,999.00"
Honor,2020,Android 10.0; Magic UI 3.1,"6.5"" 1080x2400 pixels",64MP 2160p,8GB RAM HiSilicon Kirin 820 5G,4000mAh Li-Po,"৳29,000.00"
Huawei,2020,Android 10.0; EMUI 10.1,"6.1"" 1080x2340 pixels",50MP 2160p,6/8GB RAM HiSilicon Kirin 990 5G,3800mAh Li-Po,"৳75,000.00"
Honor,2020,Android 10.0,"6.3"" 1080x2400 pixels",48MP 2160p,6/8GB RAM HiSilicon Kirin 810,4000mAh Li-Po,"৳19,000.00"
TCL,2020,"Android 10, TCL UI","6.47"" 1080x2340 pixels",48MP 2160p,6/8GB RAM Snapdragon 665,4500mAh Li-Po,"৳30,000.00"
Cat,2020,"Android 10.0, planned upgrade to Android 11.0","5.5"" 720x1440 pixels",13MP 1080p,3GB RAM MT6761D Helio A20,4200mAh Li-Po,"৳30,000.00"
Maximus,2020,Android 9,"6.08"" 720x1440 pixels",8MP 1080p,2GB,2500mAh Li-ion,"৳5,499.00"
BLU,2020,Android 11,"5.0"" 480x854 pixels",8MP 1080p,1GB RAM,2000mAh Li-Po,"৳6,000.00"
ZTE,2020,"Android 10, Redmagic 3.0","6.65"" 1080x2340 pixels",64MP 4320p,8-16GB RAM Snapdragon 865,4500mAh Li-Ion,"৳46,000.00"
Lava,2020,Android 10,"6.08"" 720x1560 pixels",13MP 1080p,3GB UniSoC SC9863A,3950mAh Li-Ion,"৳9,000.00"
OnePlus,2020,"Android 10, OxygenOS 10.0","6.44"" 1080x2400 pixels",48MP 2160p,6-12GB RAM Snapdragon 765G,4115mAh Li-Po,"৳38,500.00"
Xiaomi,2020,Android 10.0,"6.67"" 1080x2400 pixels",64MP 2160p,12GB RAM Snapdragon 865,4729mAh Li-Po,"৳60,000.00"
Oppo,2020,"Android 10, ColorOS 7.2","6.4"" 1080x2400 pixels",48MP 2160p,8GB RAM Snapdragon 720G,4015mAh Li-Po,"৳34,990.00"
BLU,2020,Android 10,"5.0"" 480x854 pixels",8MP 720p,1GB RAM MT6580,2100mAh Li-Ion,"৳5,000.00"
Oppo,2020,"Android 10, ColorOS 7.2","6.55"" 1080x2400 pixels",48MP 2160p,8GB RAM Snapdragon 720G,4000mAh Li-Po,"৳51,000.00"
HTC,2020,Android 10,"6.22"" 720x1520 pixels",16MP 1080p,4GB RAM MT6762D Helio P22,4000mAh Li-Po,"৳10,000.00"
