Brand,Released Year,OS,Display (inches),Display (pixels),Camera,Camera Resolution,RAM,Battery Capacity,Price
Doogee,2020,Android 10,"6.3""",1080x2340,2.1MP,1080,6GB,10000mAh,"৳18,000.00"
Ulefone,2021,Android 11,"6.52""",1080x2400,20MP,2160,4GB,10000mAh,"৳16,000.00"
Oukitel,2023,Android 13,"6.58""",1080x2408,48MP,2160,16GB,10000mAh,"৳35,000.00"
Oukitel,2023,Android 13,"6.58""",1080x2408,48MP,2160,8GB,10000mAh,"৳35,000.00"
ZTE,2023,Android 13,"12.1""",1600x2560,13MP,1080,16GB,10000mAh,"৳60,000.00"
Xiaomi,2024,Android 14,"12.4""",2032x3048,50MP,2160,8GB,10000mAh,"৳55,000.00"
Gionee,2020,Android,"6.0""",720x1440,16MP,1080,8GB,10000mAh,"৳18,000.00"
Ulefone,2022,Android 12,"6.52""",720x1600,20MP,1080,6GB,10000mAh,"৳25,000.00"
Ulefone,2019,Android 9.0,"5.7""",1080x2160,21MP,1080,6GB,10300mAh,"৳20,000.00"
Ulefone,2019,Android 9.0,"5.7""",1080x2160,21MP,1080,6GB,10300mAh,"৳24,000.00"
Blackview,2023,Android 13,"6.5""",1080x2408,64MP,2160,8GB,10380mAh,"৳30,000.00"
Cubot,2023,Android 13,"6.5""",1080x2400,48MP,1080,8GB,10600mAh,"৳20,000.00"
Cubot,2023,Android 13,"6.58""",1080x2408,100MP,1080,12GB,10600mAh,"৳35,000.00"
Cubot,2023,Android 13,"6.78""",1080x2460,100MP,1080,12GB,10600mAh,"৳35,000.00"
Oukitel,2023,Android 13,"6.52""",720x1600,13MP,1080,4GB,10600mAh,"৳20,000.00"
Oukitel,2023,Android 13,"6.52""",720x1600,13MP,1080,8GB,10600mAh,"৳25,000.00"
Oukitel,2023,Android 13,"6.52""",720x1600,48MP,1080,8GB,10600mAh,"৳25,000.00"
Cubot,2023,Android 13,"6.53""",720x1612,48MP,1080,12GB,10600mAh,"৳25,000.00"
Doogee,2023,Android 13,"6.58""",1080x2400,50MP,1440,12GB,10800mAh,"৳40,000.00"
Doogee,2023,Android 13,"6.58""",1080x2400,50MP,2160,12GB,10800mAh,"৳60,000.00"
Doogee,2023,Android 12,"6.58""",1080x2408,108MP,1440,12GB,10800mAh,"৳45,000.00"
Doogee,2023,Android 12,"6.58""",1080x2408,108MP,2160,12GB,10800mAh,"৳50,000.00"
Doogee,2023,Android 13,"6.58""",1080x2408,200MP,2160,12GB,10800mAh,"৳30,000.00"
Doogee,2023,Android 12,"6.58""",1080x2408,108MP,1440,8GB,10800mAh,"৳30,000.00"
Doogee,2022,Android 12,"6.58""",1080x2408,108MP,2160,8GB,10800mAh,"৳35,000.00"
Ulefone,2023,Android 12,"5.65""",1080x2160,50MP,1080,12GB,10850mAh,"৳40,000.00"
Oukitel,2024,Android 13,"6.6""",1080x2408,64MP,1440,8GB,11000mAh,"৳22,000.00"
Oukitel,2023,Android 13,"6.78""",1080x2460,108MP,2160,12GB,11000mAh,"৳55,000.00"
Doogee,2022,Android 12,"6.3""",1080x2340,48MP,1440,8GB,12000mAh,"৳30,000.00"
Doogee,2022,Android 12,"6.3""",1080x2340,64MP,1440,8GB,12000mAh,"৳35,000.00"
Blackview,2023,Android 12,"6.58""",1080x2408,12MP,1440,6GB,13000mAh,"৳20,000.00"
Gigabyte,2015,Android 4.4,"4.0""",480x800,2MP,720,0.5GB,1300mAh,"৳5,990.00"
Micromax,2017,Android 6.0,"4.0""",480x800,2MP,720,0.5GB,1300mAh,"৳3,490.00"
BLU,2018,Android 8.1,"4.0""",480x800,5MP,720,0.5GB,1300mAh,"৳4,500.00"
BLU,2019,Android 8.1,"4.0""",480x800,5MP,720,0.5GB,1300mAh,"৳4,500.00"
BLU,2018,Android 8.1,"5.0""",480x854,5MP,720,1GB,1300mAh,"৳5,850.00"
Ulefone,2021,Android 11,"6.81""",1080x2400,48MP,2160,8GB,13200mAh,"৳26,000.00"
BLU,2021,Android 10,"4.0""",480x800,5MP,720,3GB,1400mAh,"৳6,000.00"
Celkon,2015,Android 4.4.2,"4.0""",480x800,3MP,720,0.5GB,1400mAh,"৳3,790.00"
BLU,2016,Android 6.0,"4.0""",480x800,3MP,720,0.5GB,1400mAh,"৳5,750.00"
Walton,2019,Android 8.1,"4.0""",480x800,2MP,1080,0.5GB,1400mAh,"৳2,930.00"
Apple,2012,iOS 6,"4.0""",640x1136,8MP,1080,1GB,1440mAh,"৳32,500.00"
Samsung,2016,Android 5.1,"4.0""",480x800,5MP,720,1GB,1500mAh,"৳8,500.00"
Samsung,2016,Android 5.1 ,"4.0""",480x800,5MP,720,1GB,1500mAh,"৳8,900.00"
Symphony,2019,Android 8.1 ,"4.0""",480x800,2MP,720,0.5GB,1500mAh,"৳2,990.00"
Blackview,2023,Android 12,"6.7""",1080x2388,50MP,1440,12GB,15080mAh,"৳25,000.00"
Apple,2013,iOS 7,"4.0""",640x1136,8MP,1080,1GB,1510mAh,"৳28,990.00"
Apple,2013,iOS 7,"4.0""",640x1136,8MP,1080,1GB,1560mAh,"৳24,990.00"
Energizer,2018,Android 8.0,"5.99""",1080x2160,16MP,2160,6GB,16000mAh,"৳31,900.00"
Apple,2016,iOS 9.3.2,"4.0""",640x1136,12MP,2160,2GB,1624mAh,"৳46,530.00"
BLU,2017,Android 6.0,"4.0""",480x800,5MP,720,0.5GB,1700mAh,"৳7,200.00"
BLU,2016,Android 6.0,4.5'',480x854,5MP,720,0.5GB,1700mAh,"৳6,700.00"
Apple,2015,iOS 9,"4.7""",750x1334,12MP,2160,2GB,1715mAh,"৳34,999.00"
Apple,2014,iOS 8,"4.7""",750x1334,8MP,1080,1GB,1810mAh,"৳34,999.00"
Apple,2017,iOS 11,"4.7""",750x1334,12MP,2160,2GB,1821mAh,"৳79,999.00"
Apple,2020,iOS 13.4,"4.7""",750x1334,12MP,2160,3GB,1821mAh,"৳35,000.00"
Samsung,2015,Android 4.4.4,"4.3""",480x800,5MP,720,1GB,1850mAh,"৳7,990.00"
Vivo,2017,Android 5.1,"4.5""",480x854,5MP,720,1GB,1900mAh,"৳10,500.00"
Itel,2020,Android 8.1,"5.0""",480x854,5MP,720,1GB,1900mAh,"৳6,000.00"
Karbonn,2015,Android 4.4.2,"5.0""",720x1280,8MP,720,1GB,1900mAh,"৳13,500.00"
Apple,2016,iOS 10.0.1,"4.7""",750x1334,12MP,2160,2GB,1960mAh,"৳41,999.00"
Symphony,2019,Android 8.1,"5.0""",1280x720,5MP,720,1GB,2000mAh,"৳3,890.00"
WE,2018,Android 8.1,"5.34""",4800x960,5MP,720,1GB,2000mAh,"৳5,490.00"
Cat,2021,Android 11,"2.8""",480x640,5MP,1080,2GB,2000mAh,"৳11,000.00"
Philips,2015,Android 5.1,"5.0""",480x854,5MP,720,1GB,2000mAh,"৳9,700.00"
Micromax,2018,Android 8.0 ,"4.5""",480x854,5MP,480,1GB,2000mAh,"৳5,450.00"
BLU,2022,Android 11,"5.0""",480x854,5MP,720,1GB,2000mAh,"৳7,000.00"
Symphony,2019,Android 8.1,"5.0""",480x854,5MP,720,1GB,2000mAh,"৳3,990.00"
BLU,2019,Android 8.1,"5.0""",480x854,5MP,720,1GB,2000mAh,"৳5,000.00"
BLU,2019,Android 8.1,"5.0""",480x854,5MP,720,1GB,2000mAh,"৳4,500.00"
Walton,2020,Android 9.0,"5""",480x854,5MP,720,1GB,2000mAh,"৳4,299.00"
Symphony,2020,Android 9.0,"5""",480x854,5MP,720,1GB,2000mAh,"৳4,290.00"
Plum,2018,Android 6.0,"5.0""",480x854,8MP,720,1GB,2000mAh,"৳6,700.00"
Energizer,2018,Android 8.0,"5.0""",480x854,8MP,720,1GB,2000mAh,"৳22,000.00"
VeryKool,2018,Android 7.0,"5.0""",480x854,13MP,1080,1GB,2000mAh,"৳6,700.00"
BLU,2019,Android 8.1,"5.0""",480x854,5MP,1080,1GB,2000mAh,"৳5,990.00"
BLU,2020,Android 11,"5.0""",480x854,8MP,1080,1GB,2000mAh,"৳6,000.00"
BLU,2022,Android 11,"5.0""",480x854,8MP,1080,1GB,2000mAh,"৳7,000.00"
BLU,2022,Android 11,"5.0""",480x854,8MP,1080,1GB,2000mAh,"৳6,000.00"
VeryKool,2018,Android 7.0,"5.0""",480x854,8MP,1080,1GB,2000mAh,"৳10,350.00"
Walton,2019,Android 8.1,"5.0""",480x960,5MP,720,0.5GB,2000mAh,"৳4,500.00"
ZTE,2021,Android 11,"5.0""",480x960,50MP,720,1GB,2000mAh,"৳8,000.00"
Alcatel,2021,Android 11,"5.0""",480x960,5MP,720,1GB,2000mAh,"৳7,000.00"
Lava,2019,Android 8.1,"5.0""",480x960,5MP,720,1GB,2000mAh,"৳4,850.00"
Lava,2019,Android 8.1,"5.0""",480x960,5MP,720,1GB,2000mAh,"৳4,790.00"
Walton,2019,Android 8.1 ,4.95'',480x960,5MP,720,1GB,2000mAh,"৳5,700.00"
Lava,2019,Android 8.1 ,"5.0""",480x960,5MP,720,1GB,2000mAh,"৳5,290.00"
ZTE,2019,Android 9.0,"5.0""",480x960,8MP,720,1GB,2000mAh,"৳5,990.00"
ZTE,2019,Android 9.0,"5.0""",480x960,8MP,720,1GB,2000mAh,"৳5,990.00"
Alcatel,2018,Android 8.1,"5.0""",480x960,5MP,1080,1GB,2000mAh,"৳3,500.00"
Samsung,2015,Android 5.1.1,"4.7""",540x960,5MP,720,1GB,2000mAh,"৳7,990.00"
Samsung,2017,Android 7.0,"4.7""",540x960,5MP,720,1GB,2000mAh,"৳11,600.00"
Maximus,2019,Android 6.0,"5.0""",720x1280,5MP,720,1GB,2000mAh,"৳4,199.00"
BLU,2018,Android 8.1,"5.2""",720x1280,8MP,1080,1GB,2000mAh,"৳7,000.00"
Acer,2016,Android 6.0,"5.0""",720x1280,8MP,720,1GB,2000mAh,"৳10,500.00"
BLU,2020,Android 8.1,"5.0""",720x1280,8MP,1080,1GB,2000mAh,"৳4,500.00"
BLU,2018,Android 7.0,"5.0""",720x1280,8MP,1080,2GB,2000mAh,"৳9,990.00"
Maximus,2019,Android 8.1,"5.45""",720x1440,8MP,720,16GB,2000mAh,"৳5,750.00"
Symphony,2019,Android 9.0,"5.45""",720x1440,8MP,720,1.5GB,2000mAh,"৳5,990.00"
Walton,2021,Android 10,"5.0""",720x1600,5MP,720,1GB,2000mAh,"৳5,299.00"
Symphony,2019,Android 8.1.0,4.95'',960x480,5MP,1080,1GB,2000mAh,"৳4,590.00"
Samsung,2016,Android 5.1.1,"4.5""",480x800,5MP,720,1GB,2050mAh,"৳12,500.00"
Itel,2020,Android 8.1,"5.0""",480x854,5MP,720,1GB,2050mAh,"৳5,000.00"
Alcatel,2018,Android 8.1,"5.0""",480x854,5MP,720,2GB,2050mAh,"৳4,190.00"
Walton,2018,Android 8.1,"4.95""",480x960,5MP,720,1GB,2050mAh,"৳4,699.00"
Itel,2021,Android 8.1,"5.0""",720x1520,5MP,720,1GB,2050mAh,"৳5,000.00"
BLU,2020,Android 10,"5.0""",480x854,8MP,720,1GB,2100mAh,"৳5,000.00"
Huawei,2016,Android 5.1,"4.5""",480x854,5MP,1080,1GB,2100mAh,"৳7,500.00"
Motorola,2018,Android 8.0 ,"5.84""",480x960,8MP,1080,1GB,2100mAh,"৳11,500.00"
Symphony,2019,Android 8.1 ,"5.0""",480x854,5MP,720,1GB,2150mAh,"৳3,890.00"
Doogee,2023,Android 12,"6.58""",1080x2408,108MP,2160,12GB,22000mAh,"৳42,000.00"
Oukitel,2024,Android 13,"6.6""",1080x2408,64MP,1440,8GB,22000mAh,"৳30,000.00"
Micromax,2017,Android 6.0,5.0'',480x854,5MP,720,1GB,2200mAh,"৳3,000.00"
Wiko,2020,Android 8.1,"5.0""",480x854,5MP,720,1GB,2200mAh,"৳6,000.00"
ZTE,2018,Android 8.1,"5.0""",480x854,5MP,720,1GB,2200mAh,"৳6,650.00"
Huawei,2017,Android 6.0,"5.0""",480x854,8MP,720,1GB,2200mAh,"৳7,390.00"
BLU,2016,Android 6.0,"5.0""",480x854,5MP,720,0.5GB,2200mAh,"৳5,300.00"
Allview,2018,Android 8.1,5.34'',480x960,8MP,720,1GB,2200mAh,"৳9,600.00"
Maximus,2019,Android 8.1,"5.45""",480x960,8MP,720,1GB,2200mAh,"৳4,950.00"
Walton,2018,Android 8.1,"5.45""",480x960,5MP,720,1GB,2200mAh,"৳5,199.00"
Wiko,2019,Android 8.0 ,"5.45""",480x960,5MP,1080,1GB,2200mAh,"৳6,000.00"
BLU,2016,Android 6.0,"5.0""",720x1280,5MP,720,1GB,2200mAh,"৳7,800.00"
Symphony,2019,Android 8.1,"5.0""",720x1280,5MP,720,1GB,2200mAh,"৳4,190.00"
BLU,2020,Android 10,"5.0""",720x1280,8MP,720,1GB,2200mAh,"৳5,000.00"
Maxwest,2016,Android 5.1,"5.5""",720x1280,8MP,720,1GB,2200mAh,"৳10,500.00"
BLU,2020,Android 10,"5.0""",720x1280,8MP,1080,1GB,2200mAh,"৳6,000.00"
Huawei,2016,Android 5.1,"5.0""",720x1280,13MP,720,2GB,2200mAh,"৳10,990.00"
Panasonic,2018,Android 7.0,"5.0""",720x1280,8MP,720,2GB,2200mAh,"৳6,900.00"
Itel,2019,Android 8.1,"5.0""",720x1440,5MP,720,1GB,2200mAh,"৳5,390.00"
BLU,2019,Android 8.1,"5.5""",720x1440,8MP,720,1GB,2200mAh,"৳5,500.00"
BLU,2019,Android 8.1,"5.5""",720x1440,8MP,720,1GB,2200mAh,"৳7,000.00"
Apple,2020,iOS 14.1,"5.4""",1080x2340,12MP,2160,4GB,2227mAh,"৳109,999.00"
Lava,2019,Android 8.1,"4.0""",480x800,2MP,720,1GB,2250mAh,"৳4,499.00"
Walton,2019,Android 8.1 ,"5.35""",480x960,8MP,720,2GB,2250mAh,"৳6,799.00"
Walton,2019,Android 8.1 ,"5.35""",480x960,8MP,720,2GB,2250mAh,"৳6,199.00"
Huawei,2018,Android 8.0 ,"5.0""",480x854,8MP,720,1GB,2280mAh,"৳9,050.00"
Samsung,2015,Android 5.1.1,"4.7""",720x1280,13MP,1080,1.5GB,2300mAh,"৳21,500.00"
Panasonic,2018,Android 7.1.2,"5.0""",720x1280,8MP,720,1GB,2300mAh,"৳6,500.00"
Vivo,2015,Android 5.0.2,"5.0""",540x960,8MP,1080,2GB,2350mAh,"৳11,700.00"
Itel,2019,Android 8.1,"5.5""",720x1280,8MP,720,1GB,2350mAh,"৳6,990.00"
Itel,2019,Android 9.0,5.5',720x1280,8MP,720,2GB,2350mAh,"৳6,990.00"
Samsung,2017,Android 6.0.1,"4.7""",720x1280,13MP,1080,2GB,2350mAh,"৳28,000.00"
Vivo,2016,Android 5.1,"5.2""",1080x1920,13MP,1080,4GB,2400mAh,"৳31,790.00"
Tecno,2021,Android 10,"5.0""",480x854,5MP,1080,1GB,2400mAh,"৳7,000.00"
Nokia,2022,Android 11,"5.7""",480x960,5MP,720,2GB,2400mAh,"৳8,499.00"
Tecno,2019,Android 8.0,"5.5""",480x960,5MP,720,1GB,2400mAh,"৳5,990.00"
Walton,2019,Android 8.1,"5.7""",480x960,5MP,720,1GB,2400mAh,"৳4,999.00"
Tecno,2018,Android 8.0,"5.5""",480x960,8MP,720,1GB,2400mAh,"৳5,990.00"
Maximus,2020,Android 8.1,"5.72""",480x960,8MP,720,1GB,2400mAh,"৳4,990.00"
Oppo,2015,Android 5.1,"5.0""",540x960,8MP,1080,2GB,2400mAh,"৳11,600.00"
Panasonic,2018,Android 7.0,"5.0""",720x1280,5MP,720,1GB,2400mAh,"৳7,500.00"
Itel,2018,Android 8.0,"5.5""",720x1280,8MP,720,2GB,2400mAh,"৳7,490.00"
Samsung,2016,Android 6.0.1,"5.0""",720x1280,13MP,1080,2GB,2400mAh,"৳20,000.00"
Samsung,2017,Android 7.0,"5.0""",720x1280,13MP,1080,2GB,2400mAh,"৳13,990.00"
Maximus,2019,Android 8.1,"5.45""",720x1440,8MP,720,16GB,2400mAh,"৳6,999.00"
Symphony,2020,Android 10,"5.45""",720x1440,8MP,1080,1GB,2400mAh,"৳4,390.00"
Itel,2019,Android 8.1,"5.5""",720x1520,8MP,1080,1GB,2400mAh,"৳5,550.00"
LG,2018,Android 7.1.2,"5.0""",720x1280,13MP,1080,2GB,2410mAh,"৳4,990.00"
Apple,2021,iOS 15,"5.4""",1080x2340,12MP,2160,4GB,2438mAh,"৳103,999.00"
Coolpad,2020,Android 9.0,"5.45""",720x1440,8MP,1080,2GB,2450mAh,"৳6,000.00"
Alcatel,2019,Android 8.1,"5.0""",480x960,6MP,720,1GB,2460mAh,"৳6,990.00"
Vodafone,2018,Android 8.1,"5.34""",480x960,8MP,1080,1GB,2460mAh,"৳9,990.00"
Alcatel,2018,Android 8.1 ,"5.3""",480x960,13MP,1080,2GB,2460mAh,"৳9,990.00"
ZTE,2015,Android 5.1,"5.0""",1080x1920,13MP,1080,3GB,2500mAh,"৳19,990.00"
Sharp,2019,Android 9.0,"5.2""",1080x2280,22MP,2160,4GB,2500mAh,"৳14,990.00"
Symphony,2017,Android 7.0 ,5.2'',1280x720,8MP,720,1GB,2500mAh,"৳6,990.00"
BLU,2016,Android 6.0,"5.0""",480x854,5MP,720,1GB,2500mAh,"৳9,900.00"
Lava,2019,Android 9.0,"5.0""",480x854,5MP,720,1GB,2500mAh,"৳4,500.00"
Maximus,2019,Android 8.1,"5.45""",480x960,5MP,720,1GB,2500mAh,"৳4,900.00"
Symphony,2018,Android 8.1 ,"5.45""",480x960,5MP,1080,1GB,2500mAh,"৳5,999.00"
BLU,2018,Android 8.1,"5.34""",480x960,8MP,1080,1GB,2500mAh,"৳9,500.00"
Nokia,2021,Android 10,"5.45""",480x960,5MP,720,1GB,2500mAh,"৳9,000.00"
Symphony,2019,Android 8.1,"5.45""",480x960,5MP,720,1GB,2500mAh,"৳4,890.00"
Lava,2019,Android 9.0,"5.0""",480x960,5MP,720,1GB,2500mAh,"৳5,190.00"
Nokia,2020,Android 9.0,"5.45""",480x960,5MP,720,1GB,2500mAh,"৳6,499.00"
Nokia,2019,Android 9.0,"5.45""",480x960,8MP,720,1GB,2500mAh,"৳9,990.00"
Wiko,2020,Android 9.0,"5.45""",480x960,5MP,1080,1GB,2500mAh,"৳6,000.00"
Panasonic,2018,Android 7.1,"5.45""",480x960,8MP,1080,2GB,2500mAh,"৳8,900.00"
BLU,2019,Android 9.0,"5.5""",480x960,8MP,1080,2GB,2500mAh,"৳4,500.00"
Vivo,2017,Android 6,"5.0""",540x960,8MP,720,2GB,2500mAh,"৳8,990.00"
Vivo,2018,Android 6.0,"5.0""",540x960,8MP,720,2GB,2500mAh,"৳9,990.00"
Lava,2018,Android 8.0,"5.0""",720x1080,8MP,720,1GB,2500mAh,"৳5,850.00"
Intex,2016,Android 5.1,"5.0""",720x1280,8MP,720,1GB,2500mAh,"৳6,300.00"
Haier,2018,Android 7.0,"5.0""",720x1280,8MP,720,1GB,2500mAh,"৳9,290.00"
Symphony,2021,Android 10,"5.0""",720x1280,5MP,720,1GB,2500mAh,"৳5,700.00"
WE,2018,Android 8.0 ,"5.0""",720x1280,5MP,1080,1GB,2500mAh,"৳5,990.00"
Lava,2018,Android 8.1,"5.0""",720x1280,5MP,1080,1GB,2500mAh,"৳5,750.00"
BLU,2016,Android 6.0,"5.5""",720x1280,8MP,1080,1GB,2500mAh,"৳8,800.00"
BLU,2018,Android 8.1,"5.5""",720x1280,8MP,1080,1GB,2500mAh,"৳8,590.00"
BLU,2019,Android 8.1,"5.5""",720x1280,8MP,1080,1GB,2500mAh,"৳6,990.00"
Alcatel,2016,Android 6.0,"5.5""",720x1280,8MP,720,2GB,2500mAh,"৳7,800.00"
Wiko,2015,Android 5.1,"5.0""",720x1280,13MP,1080,2GB,2500mAh,"৳17,000.00"
BLU,2016,Android 6.0,"5.0""",720x1280,8MP,1080,2GB,2500mAh,"৳11,700.00"
LG,2018,Android 7.1.2,"5.0""",720x1280,8MP,1080,2GB,2500mAh,"৳7,800.00"
LG,2018,Android 7.1.2,"5.0""",720x1280,8MP,1080,2GB,2500mAh,"৳9,990.00"
LG,2018,Android 7.1.2,"5.0""",720x1280,8MP,1080,2GB,2500mAh,"৳13,990.00"
Micromax,2017,Android 7.0,"5.0""",720x1280,5MP,720,3GB,2500mAh,"৳6,590.00"
Oppo,2016,Android 5.1,"5.0""",720x1280,13MP,1080,3GB,2500mAh,"৳20,990.00"
Xolo,2017,Android 6.0,"5.0""",720x1280,8MP,1080,3GB,2500mAh,"৳7,990.00"
Symphony,2018,Android 8.1 ,5.45'',720x1440,5MP,720,1GB,2500mAh,"৳5,690.00"
Symphony,2019,Android 8.1 ,"5.45""",720x1440,8MP,720,1GB,2500mAh,"৳6,190.00"
Nokia,2021,Android 11,"5.45""",720x1440,5MP,720,1GB,2500mAh,"৳6,000.00"
Walton,2019,Android 8.1,"5.45""",720x1440,5MP,720,1GB,2500mAh,"৳5,199.00"
Symphony,2020,Android 10.0,"5.45""",720x1440,8MP,1080,1GB,2500mAh,"৳5,290.00"
Symphony,2019,Android 8.1,"5.45""",720x1440,8MP,1080,1GB,2500mAh,"৳6,390.00"
Micromax,2018,Android 7.1.2,"5.45""",720x1440,13MP,1080,2GB,2500mAh,"৳11,990.00"
Coolpad,2018,Android 8.1,"5.45""",720x1440,8MP,1080,2GB,2500mAh,"৳8,500.00"
Walton,2019,Android 9,"5.45""",720x1440,8MP,1080,2GB,2500mAh,"৳6,399.00"
Maximus,2020,Android 9,"6.08""",720x1440,8MP,1080,2GB,2500mAh,"৳5,499.00"
Walton,2020,Android 8.1,5.7”,720x1600,5MP,720,1GB,2500mAh,"৳6,599.00"
Walton,2023,Android 12,"5.0""",854x480,5MP,1080,2GB,2500mAh,"৳5,475.00"
Motorola,2020,Android 9.0,"6.2""",876x2142,16MP,2160,6GB,2510mAh,"৳148,000.00"
OnePlus,2015,Android 5.1.1,"5.0""",1080x1920,13MP,1080,3GB,2525mAh,"৳19,999.00"
BLU,2021,Android 10,"5.5""",480x960,8MP,720,1GB,2550mAh,"৳8,000.00"
Vivo,2016,Android 5.1,"5.0""",720x1280,13MP,1080,3GB,2550mAh,"৳22,990.00"
Symphony,2022,Android 11,"5.45""",720x1440,5MP,720,2GB,2580mAh,"৳6,490.00"
Samsung,2016,Android 6.0.1,"5.2""",1080x1920,16MP,1080,4GB,2600mAh,"৳31,500.00"
Samsung,2017,Android 7.0,"5.2""",1080x1920,16MP,1080,4GB,2600mAh,"৳33,500.00"
Samsung,2016,Android 6.0,"5.0""",540x960,8MP,720,1.5GB,2600mAh,"৳9,990.00"
Samsung,2016,Android 6.0,"5.0""",540x960,8MP,720,1.5GB,2600mAh,"৳13,500.00"
Samsung,2018,Android 8.1,"5.0""",540x960,8MP,1080,1GB,2600mAh,"৳7,490.00"
Samsung,2019,Android 8.1,"5.0""",540x960,8MP,1080,1GB,2600mAh,"৳7,590.00"
Samsung,2020,Android 8.1,"5.0""",540x960,8MP,1080,1GB,2600mAh,"৳7,500.00"
Samsung,2018,Android 7.1,"5.0""",540x960,8MP,1080,2GB,2600mAh,"৳11,900.00"
BLU,2018,Android 8.1,"5.2""",720x1280,8MP,1080,1GB,2600mAh,"৳6,900.00"
Samsung,2016,Android 6.0.1,"5.0""",720x1280,8MP,720,1.5GB,2600mAh,"৳13,490.00"
Samsung,2015,Android 5.1,"5.0""",720x1280,13MP,1080,1.5GB,2600mAh,"৳13,990.00"
Samsung,2017,Android 7.0 ,"5.0""",720x1280,5MP,1080,1.5GB,2600mAh,"৳22,500.00"
Samsung,2016,Android 6.0,"5.0""",720x1280,8MP,720,2GB,2600mAh,"৳13,990.00"
Samsung,2016,Android 6.0.1,"5.0""",720x1280,8MP,720,2GB,2600mAh,"৳13,990.00"
Samsung,2016,Android 5.1,"5.0""",720x1280,8MP,1080,2GB,2600mAh,"৳13,990.00"
Samsung,2016,Android 6.0,"5.0""",720x1280,8MP,1080,2GB,2600mAh,"৳13,000.00"
Samsung,2018,Android 8.0,"5.0""",720x1280,8MP,1080,2GB,2600mAh,"৳19,500.00"
BLU,2018,Android 8.1,"6.0""",720x1440,13MP,1080,1GB,2600mAh,"৳6,300.00"
BLU,2018,Android 8.1,"6.0""",720x1440,13MP,1080,1GB,2600mAh,"৳8,490.00"
BLU,2018,Android 9.0,"6.0""",720x1440,8MP,1080,1GB,2600mAh,"৳6,800.00"
Yezz,2021,Android 11,"5.5""",720x1440,13MP,1080,2GB,2600mAh,"৳8,000.00"
ZTE,2019,Android 9.0,"5.45""",720x1440,13MP,1080,2GB,2600mAh,"৳7,990.00"
Symphony,2022,Android 11,"5.45""",720x1440,5MP,1080,2GB,2600mAh,"৳7,000.00"
BlackBerry,2016,Android 6.0,"5.2""",1080x1920,13MP,1080,3GB,2610mAh,"৳28,000.00"
Sony,2017,Android 7.1,"5.2""",720x1280,13MP,1080,3GB,2620mAh,"৳17,900.00"
Nokia,2017,Android 7.0,"5.0""",720x1280,8MP,720,2GB,2630mAh,"৳10,990.00"
Oppo,2016,Android 5.1,"5.0""",720x1280,8MP,1080,2GB,2630mAh,"৳19,990.00"
Symphony,2022,Android 11,"5.45""",720x1440,5MP,1080,2GB,2650mAh,"৳6,590.00"
Apple,2018,iOS 12,"5.8""",1125x2436,12MP,2160,4GB,2658mAh,"৳115,000.00"
Gionee,2018,Android 7.1,"5.45""",720x1440,8MP,720,2GB,2670mAh,"৳12,500.00"
Apple,2017,iOS 11,"5.5""",1080x1920,12MP,2160,3GB,2691mAh,"৳84,000.00"
Google,2017,Android 8.0,"5.0""",1080x1920,12MP,2160,4GB,2700mAh,"৳15,000.00"
Sony,2017,Android 8.0,"5.2""",1080x1920,19MP,2160,4GB,2700mAh,"৳56,900.00"
Ulefone,2020,Android 10,"5.5""",442x960,5MP,720,2GB,2700mAh,"৳5,000.00"
Ulefone,2020,Android 10,"5.5""",442x960,8MP,720,2GB,2700mAh,"৳7,000.00"
Walton,2018,Android 8.1,"5.34""",480x960,5MP,720,1GB,2700mAh,"৳5,799.00"
Plum,2019,Android 8.0 ,"5.72""",480x960,8MP,1080,1GB,2700mAh,"৳6,900.00"
BLU,2022,Android 11,"5.7""",480x960,5MP,720,2GB,2700mAh,"৳8,000.00"
Itel,2018,Android 8.0,"5.0""",720x1280,8MP,1080,3GB,2700mAh,"৳8,490.00"
Sony,2017,Android 8.0,"4.6""",720x1280,19MP,2160,4GB,2700mAh,"৳56,700.00"
BLU,2022,Android 11,"5.7""",720x1440,5MP,720,1GB,2700mAh,"৳8,000.00"
Allview,2019,Android 9.0,"5.7""",720x1520,8MP,1080,2GB,2700mAh,"৳9,500.00"
Apple,2017,iOS 11.1.1,"5.8""",1125x2436,12MP,2160,3GB,2716mAh,"৳89,999.00"
Micromax,2017,Android 7.0,"5.2""",1080x1920,13MP,1080,4GB,2730mAh,"৳24,890.00"
Vivo,2017,Android 6,"5.2""",720x1280,13MP,1080,3GB,2730mAh,"৳16,990.00"
HTC,2018,Android 7.x,"5.5""",720x1440,13MP,1080,3GB,2730mAh,"৳20,500.00"
Apple,2015,iOS 9,"5.5""",1080x1920,12MP,2160,2GB,2750mAh,"৳44,999.00"
Google,2016,Android 7.1,"5.0""",1080x1920,12MP,2160,4GB,2770mAh,"৳56,000.00"
Energizer,2024,Android 14,"6.78""",1080x2460,60MP,2160,8GB,28000mAh,"৳30,000.00"
ZTE,2015,Android 5.1.1,"5.2""",1080x1920,13MP,1080,3GB,2800mAh,"৳22,990.00"
Google,2019,Android 10,"5.7""",1080x2220,16MP,2160,6GB,2800mAh,"৳71,000.00"
BLU,2021,Android 10,"7.0""",600x1240,5MP,720,2GB,2800mAh,"৳7,000.00"
